region_id	min_player_level	encounter_budget	min_enemies	max_enemies	multi_enemy_chance	overlevel_bonus_every	overlevel_bonus_chance	boss_support_max	boss_support_chance	description
green_area	1	2	1	1	0	5	0	0	0	Starter region. Single-virus fights only.
pavillion_comp	5	3	1	2	20	5	15	0	0	Early region. Occasional two-virus fights.
central_area	10	4	1	2	35	5	20	0	0	Early-mid region. More two-virus fights.
acdc_area	15	5	1	2	45	5	25	1	25	Mid region. Bosses may have one support virus.
scilab_area	20	6	2	3	50	5	25	1	35	Mid region. Two-virus baseline with occasional three-virus fights.
seaside_area	25	7	2	3	55	5	30	1	45	Mid-late region. Stronger multi-virus pressure.
sky_area	30	8	2	3	65	5	30	1	55	Late region. Frequent three-virus fights.
graveyard	35	9	2	3	75	5	35	2	40	Late region. Bosses may have escorts.
underground	40	10	2	3	80	5	35	2	55	Endgame region. High multi-virus pressure.
undernet	45	12	2	3	85	5	40	2	65	Final region. Highest encounter pressure.
