id	name	type	requirement	region_id	reward_zenny	reward_chip_ids	description	image_url
1	Challenger Approaches	Defeat	CanGuard:15,Cateen:15	acdc_area	2000	LongSwrd_S	Challenger Approaches! Defeat 15 CanGuard & 15 Canteen.	https://mmntwtcgcustomcards.s3.us-west-1.amazonaws.com/netbattlers/Missions/ACDC+Area+1+Challenger+Approaches.png
2	Clowning Around	Defeat	CircusMan:1	acdc_area	4500		Can someone please deal with the scary clown in ACDC Area.	https://mmntwtcgcustomcards.s3.us-west-1.amazonaws.com/netbattlers/Missions/ACDC+Area+2+Clowning+Around.png
3	Brother's Gift	Obtain	TankCan1_A:1	acdc_area	2000		Catack is my brother's favorite. Can you get me a TankCan1 (A)	https://mmntwtcgcustomcards.s3.us-west-1.amazonaws.com/netbattlers/Missions/ACDC+Area+3+Brothers+Gift.png
4	Clean Up ACDC Area	Defeat	Catpult:5	acdc_area	2000		Viruses are rampant in ACDC Area. Delete 5 Catpult.	https://mmntwtcgcustomcards.s3.us-west-1.amazonaws.com/netbattlers/Missions/ACDC+Area+4+Clean+Up+ACDC+Area.png
5	Security Upgrades	Obtain	TankCan3_B:1	acdc_area	2000		Security Needs Help. Can someone get me a TankCan3 (B).	https://mmntwtcgcustomcards.s3.us-west-1.amazonaws.com/netbattlers/Missions/ACDC+Area+5+Security+Upgrades.png
6	ProtoMan Challenge	Defeat	ProtoMan:1	central_area	4500	SuperVulc_V	Take me on if you dare! I'll be waiting in Central Area 3.	https://mmntwtcgcustomcards.s3.us-west-1.amazonaws.com/netbattlers/Missions/Central+Area+1+ProtoMan+Challenge.png
7	Save the Net	Defeat	Champy:15	central_area	3000		Help the Net. Delete 15 Champy for me please!	https://mmntwtcgcustomcards.s3.us-west-1.amazonaws.com/netbattlers/Missions/Central+Area+2+Save+The+Net.png
8	Needs Protection	Obtain	Reflector3_E:1	central_area	1500		In need of protection. Can you get me a Reflector3 (E).	https://mmntwtcgcustomcards.s3.us-west-1.amazonaws.com/netbattlers/Missions/Central+Area+3+Needs+Protection.png
9	Back In My Day	Defeat	Gunner:7	central_area	1500		Back in my day I was the best. Delete 7 Gunner in Central Area.	https://mmntwtcgcustomcards.s3.us-west-1.amazonaws.com/netbattlers/Missions/Central+Area+4+Back+In+My+Day.png
10	Beat My Record	Defeat	Champy:1,Gunner:1,OldBurnr:1	central_area	1500		Beat my record! Delete a Champy, Gunner & OldBurnr.	https://mmntwtcgcustomcards.s3.us-west-1.amazonaws.com/netbattlers/Missions/Central+Area+5+Beat+My+Record.png
