id	name	element	hp	atk	def	spd	acc	cr	region_id	zone	drop_table_id	image_url	anim_url	description	zenny_range	move_1json	move_2json	move_3json	move_4json	boss	xp_range
CanGuard	CanGuard	Neutral	60	40	10	25	95	40	acdc_area	1,2,3	CanGuard	https://static.wikia.nocookie.net/megaman/images/e/e2/CanGuard.gif/revision/latest?cb=20100409050410		A green and silver auto cannon.	120-180	{"name":"Cannon","kind":"attack","element":"Neutral","power":30,"hits":1,"acc":0.96,"weight":3}				0	60-120
Catack	Catack	Neutral	130	40	10	30	95	40	acdc_area	1,2,3	Catack	https://static.wikia.nocookie.net/megaman/images/d/da/Catack.gif/revision/latest?cb=20100413043101		A green and pink tank operated by a shady figure.	260-320	{"name":"TankCannon1","kind":"attack","element":"Neutral","power":70,"hits":1,"acc":0.96,"weight":3}				0	130-260
Cateen	Cateen	Neutral	160	100	10	30	95	40	acdc_area	2,3	Cateen	https://static.wikia.nocookie.net/megaman/images/e/e8/Cateen1.png/revision/latest?cb=20120117135457		A blue and yellow tank operated by a shady figure.	320-380	{"name":"TankCannon2","kind":"attack","element":"Neutral","power":100,"hits":1,"acc":0.96,"weight":3}				0	160-320
Catpult	Catpult	Neutral	220	180	10	30	95	40	acdc_area	3	Catpult	https://static.wikia.nocookie.net/megaman/images/d/d7/Catpult1.png/revision/latest?cb=20120117135617		A red and blue tank operated by a shady figure.	380-440	{"name":"TankCannon3","kind":"attack","element":"Neutral","power":150,"hits":1,"acc":0.96,"weight":3}				0	220-440
CircusMan	CircusMan	Neutral	1200	180	20	25	95	50	acdc_area	3	CircusMan	https://static.wikia.nocookie.net/megaman/images/7/77/CIRCUSMAN.EXE_sprite.png/revision/latest?cb=20120208193814		A humanoid Navi with a round body, he has a clown like appearence and 4 floating hands.	600-1000			{"name":"Barrier","kind":"support","element":"Neutral","barrier":100,"cooldown":3,"weight":1}	{"name":"Overclock","kind":"support","element":"Neutral","selfBuff":{"atk":5,"acc":5},"cooldown":4,"weight":1}	1	1200-1400
Gunner	Gunner	Neutral	60	40	10	25	95	40	central_area	1,2,3	Gunner	https://static.wikia.nocookie.net/megaman/images/e/e1/Gunner1_exe6.png/revision/latest?cb=20120701040733		A soldier wearing a cyan helmet and mans a turret with cyan plating, a steel barrel, and orange trim on the base.	120-180	{"name":"MachineGun1","kind":"attack","element":"Neutral","power":10,"hits":2,"acc":0.96,"weight":3}				0	60-120
Champy	Champy	Fire	60	40	10	25	95	40	central_area	1,2,3	Champy	https://static.wikia.nocookie.net/megaman/images/2/29/Champy.GIF/revision/latest?cb=20091120012254		A boxer characterized by its red headgear.	120-180	{"name":"FireHit1","kind":"attack","element":"Fire","power":30,"hits":2,"acc":0.88,"status":{"apply":"Burn","chance":0.4,"turns":2},"weight":2}				0	60-120
Mettaur	Mettaur	Neutral	40	40	10	25	95	40	central_area	1,2,3	Mettaur	https://static.wikia.nocookie.net/megaman/images/8/85/Mettaur1.png/revision/latest?cb=20120115000451		A small black ball with eyes, wearing a yellow hard hat with a green cross on it. Doesn't hide under its helmet.	80-140	{"name":"Reflector1","kind":"attack","element":"Neutral","power":20,"hits":1,"barrier":20,"cooldown":3,"weight":1}				0	40-80
OldSTov	OldSTov	Fire	80	40	10	25	95	40	central_area	3	OldSTov	https://static.wikia.nocookie.net/megaman/images/8/8c/OldStove1_exe6.png/revision/latest?cb=20120701043112		A oven with a steel chasis with a red cover on top.	160-220	{"name":"FireBurn1","kind":"attack","element":"Fire","power":20,"hits":1,"acc":0.88,"status":{"apply":"Burn","chance":0.4,"turns":2},"weight":2}				0	80-160
ProtoMan	ProtoMan	Neutral	1000	180	20	25	95	50	central_area	3	ProtoMan	https://static.wikia.nocookie.net/megaman/images/3/3a/BN6_ProtoMan_Battle.png/revision/latest?cb=20230228000417		A humanoid Navi with a red outfit and a horn on his helment, he has red armor with white trim and a blade.	600-1000			{"name":"Barrier","kind":"support","element":"Neutral","barrier":100,"cooldown":3,"weight":1}	{"name":"Overclock","kind":"support","element":"Neutral","selfBuff":{"atk":5,"acc":5},"cooldown":4,"weight":1}	1	1000-1200
